,subject,visual_qmi,audio_qmi,tactile_qmi,proprioception_qmi,gustatory_qmi,olfaction_qmi,feeling_qmi,global_qmi,self_aphant,age,sex,vision,images_in_dream,changes_imagery,aphant
0,S001,30,26,28,30,25,22,23,184,N,19,1,1.0,Y,N,0
1,S002,29,25,30,22,27,22,22,177,Y,18,1,2.0,Y,N,0
2,S003,25,31,25,25,29,32,23,190,N,24,1,1.0,Y,N,0
3,S004,34,31,30,34,26,33,33,221,Y,20,1,2.0,Y,Y,0
4,S005,26,24,29,25,20,28,18,170,N,22,1,2.0,Y,N,0
5,S006,18,16,22,20,23,17,17,133,Y,22,1,2.0,Y,N,0
6,S007,25,21,24,26,23,23,27,169,Y,19,1,1.0,Y,N,0
7,S008,25,24,22,31,26,20,21,169,Y,19,1,2.0,Y,N,0
8,S009,34,34,26,32,21,26,35,208,Y,19,1,2.0,Y,N,0
9,S010,22,25,28,30,18,16,28,167,Y,19,1,1.0,Y,Y,0
10,S011,22,29,25,18,30,35,30,189,,21,1,,,,0
11,S012,34,30,25,29,30,33,30,211,N,21,1,1.0,Y,Y,0
12,S013,21,30,19,23,24,21,27,165,N,20,1,2.0,Y,N,0
13,S014,27,25,33,30,32,29,23,199,N,19,1,2.0,Y,N,0
14,S015,30,21,19,27,15,10,22,144,Y,18,1,1.0,Y,N,0
15,S016,28,33,30,33,32,25,34,215,N,24,1,1.0,Y,N,0
16,S017,34,35,30,31,33,31,34,228,Y,20,1,2.0,Y,Y,0
17,S018,29,13,16,22,19,10,24,133,N,21,1,1.0,NOSUR,N,0
18,S019,24,24,21,20,24,16,23,152,Y,18,1,2.0,Y,Y,0
19,S020,28,22,27,30,19,15,31,172,N,18,2,1.0,Y,N,0
20,S021,34,31,35,31,31,34,33,229,N,19,1,1.0,Y,N,0
21,S022,30,28,29,23,26,19,29,184,Y,19,1,2.0,Y,N,0
22,S023,28,30,21,23,16,25,28,171,N,18,1,1.0,Y,Y,0
23,S024,26,32,25,16,13,11,32,155,N,20,1,2.0,Y,Y,0
24,S025,29,20,19,18,22,15,27,150,Y,20,1,1.0,Y,N,0
25,S026,25,28,26,22,30,29,29,189,N,22,1,1.0,Y,Y,0
26,S027,33,35,35,35,35,33,34,240,Y,19,1,1.0,Y,N,0
27,S028,27,27,18,20,19,22,27,160,N,19,1,2.0,Y,Y,0
28,S029,27,27,22,26,23,19,18,162,N,20,1,1.0,Y,N,0
29,S030,26,30,29,26,12,23,33,179,N,20,1,2.0,FORGT,N,0
30,S031,22,29,28,28,24,15,22,168,N,19,1,2.0,Y,N,0
31,S032,28,26,26,27,31,23,29,190,Y,19,1,2.0,Y,Y,0
32,S033,27,19,25,21,26,23,22,163,N,19,1,2.0,Y,N,0
33,S034,18,23,18,25,26,20,23,153,Y,20,1,1.0,Y,N,0
34,S035,26,30,28,22,27,25,31,189,N,30,1,2.0,Y,N,0
35,S036,30,28,29,29,24,30,31,201,N,21,1,3.0,Y,Y,0
36,S037,35,34,30,33,35,33,26,226,Y,20,1,1.0,Y,N,0
37,S038,27,25,23,19,25,25,26,170,Y,19,1,2.0,Y,N,0
38,S039,24,20,26,30,20,25,23,168,N,20,1,1.0,Y,Y,0
39,S040,31,20,34,29,33,34,34,215,N,21,1,2.0,Y,Y,0
40,S041,28,30,27,30,10,23,12,160,Y,19,2,1.0,Y,N,0
41,S042,17,14,15,14,11,10,23,104,N,21,1,1.0,Y,N,0
42,S043,28,22,22,26,21,23,29,171,Y,21,1,1.0,Y,Y,0
43,S044,28,20,22,22,22,20,26,160,N,21,1,2.0,Y,N,0
44,S045,5,10,25,18,20,21,28,127,N,19,1,1.0,Y,Y,1
45,S046,33,32,31,30,28,29,33,216,N,19,1,1.0,Y,N,0
46,S047,24,25,23,27,30,26,30,185,N,21,1,1.0,Y,N,0
47,S048,32,29,20,23,24,26,28,182,N,23,1,2.0,Y,Y,0
48,S049,31,21,28,20,22,20,25,167,Y,18,1,2.0,Y,N,0
49,S050,13,27,9,25,20,9,26,129,N,19,1,1.0,Y,Y,1
50,S051,22,20,22,23,15,16,21,139,Y,21,1,2.0,Y,Y,0
51,S052,27,27,27,28,25,26,26,186,N,19,1,1.0,Y,Y,0
52,S053,13,15,10,13,5,10,15,81,N,19,1,2.0,NOSUR,Y,1
53,S054,26,23,28,24,31,20,32,184,Y,21,1,1.0,Y,Y,0
54,S055,25,22,19,35,19,21,21,162,Y,20,1,1.0,Y,N,0
55,S056,26,25,28,25,21,27,27,179,N,20,1,1.0,Y,Y,0
56,S057,29,28,28,29,26,20,34,194,N,19,1,1.0,Y,N,0
57,S058,22,23,30,26,23,23,32,179,N,23,1,1.0,FORGT,Y,0
